drugName,drug_category,Padding_re_con,sentiment,uC_rank,drug_category_encoded
Etonogestrel,Hormonal Contraceptives,"[36, 135, 66, 379, 273, 31, 3, 7, 1052, 411, 1435, 992, 13, 7, 20, 98, 47, 213, 7, 33, 55, 1337, 475, 14, 12, 98, 17, 199, 154, 118, 873, 36, 4632, 136, 36, 1052, 2, 41, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,5,0
Levonorgestrel,Hormonal Contraceptives,"[119, 7, 515, 47, 213, 76, 21, 32, 197, 13, 65, 86, 135, 5, 15, 31, 22, 8495, 1510, 172, 31, 143, 402, 116, 599, 53, 914, 1, 2159, 482, 1072, 32, 28, 82, 36, 394, 402, 1214, 941, 261, 1621, 636, 374, 56, 16, 134, 86, 230, 7, 420, 5, 30, 88, 28, 372, 82, 501, 7, 336, 113, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[2786, 183, 119, 232, 39, 225, 1281, 35, 40, 19, 70, 41, 63, 846, 57, 1494, 118, 8, 17, 36, 41, 341, 265, 631, 174, 56, 235, 2153, 11, 2, 706, 124, 25, 27, 57, 2, 446, 25, 230, 2242, 2580, 40, 1, 35, 8, 566, 11, 30, 88, 1826, 57, 49, 335, 387, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[344, 281, 150, 166, 2, 191, 210, 4943, 2170, 841, 106, 1587, 895, 39, 1435, 1090, 4577, 2154, 87, 1, 3511, 1, 284, 416, 886, 21, 35, 1681, 69, 7, 95, 15, 3, 69, 332, 207, 141, 44, 617, 376, 6, 403, 35, 441, 274, 127, 118, 758, 21, 150, 2890, 130, 398, 84, 284, 1338, 20, 221, 212, 939, 2, 675, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[7, 10, 4, 190, 20, 18, 7, 33, 55, 195, 114, 20, 15, 18, 39, 671, 6235, 187, 335, 458, 18, 53, 582, 243, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,5,0
Levonorgestrel,Hormonal Contraceptives,"[14, 12, 144, 1642, 63, 894, 215, 359, 131, 544, 515, 898, 1723, 6, 180, 125, 1887, 713, 113, 345, 2, 23, 929, 5, 86, 1617, 43, 183, 69, 686, 345, 69, 55, 473, 7, 77, 327, 263, 7, 255, 167, 6, 23, 398, 235, 13, 271, 1546, 7, 106, 168, 15, 345, 539, 1032, 7, 20, 7, 21, 7, 2527, 238, 961, 3, 2904, 65, 145, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[581, 984, 150, 350, 562, 80, 3135, 213, 801, 284, 416, 1917, 841, 106, 2170, 14, 12, 1668, 42, 350, 53, 1935, 3019, 739, 35, 284, 416, 559, 19, 106, 841, 13, 3019, 739, 350, 53, 1935, 14, 12, 35, 284, 416, 148, 299, 10, 285, 222, 346, 72, 727, 19, 499, 8, 20, 48, 58, 58, 9, 8, 43, 350, 1425, 138, 36, 361, 189, 284, 416, 6, 238, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,2,0
Etonogestrel,Hormonal Contraceptives,"[15, 20, 467, 148, 492, 48, 114, 39, 20, 140, 129, 2376, 28, 492, 20, 1290, 2104, 57, 618, 224, 70, 43, 81, 3, 121, 200, 976, 3, 3, 121, 160, 97, 10, 4, 23, 296, 31, 41, 72, 60, 18, 81, 7, 33, 55, 271, 399, 144, 2319, 467, 84, 45, 484, 410, 968, 266, 16, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[876, 67, 175, 283, 2183, 36, 125, 935, 41, 8, 72, 349, 243, 1111, 2392, 935, 39, 1, 2392, 20, 141, 2104, 63, 487, 215, 70, 528, 846, 642, 518, 76, 13, 2843, 7, 208, 897, 134, 507, 21, 65, 21, 4, 153, 8, 213, 350, 2, 8, 213, 47, 445, 21, 35, 13, 349, 170, 64, 4, 125, 423, 298, 2, 153, 1, 2816, 395, 509, 117, 741, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Levonorgestrel,Hormonal Contraceptives,"[345, 146, 18, 135, 5, 1765, 1335, 325, 984, 78, 5, 63, 3, 1214, 3174, 1851, 633, 121, 135, 20, 39, 157, 410, 1854, 31, 507, 100, 929, 2475, 9, 1078, 2724, 357, 7769, 106, 168, 487, 1938, 263, 113, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[15, 467, 36, 375, 20, 15, 18, 2, 31, 39, 144, 247, 136, 26, 81, 121, 227, 3, 496, 224, 3011, 210, 33, 55, 34, 97, 149, 395, 26, 284, 22, 480, 136, 26, 30, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[568, 135, 47, 98, 213, 13, 135, 135, 5, 135, 5, 48, 1609, 371, 5, 229, 341, 121, 60, 3, 246, 450, 1741, 1574, 591, 121, 40, 20, 616, 8, 31, 28, 70, 3, 131, 959, 1614, 1403, 701, 51, 63, 2, 20, 1722, 51, 5, 2000, 247, 276, 320, 585, 10, 4, 2163, 70, 5, 2143, 8, 20, 68, 1572, 247, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Etonogestrel,Hormonal Contraceptives,"[146, 26, 20, 31, 60, 524, 18, 312, 124, 63, 379, 42, 227, 273, 135, 61, 80, 8, 14, 12, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[94, 1578, 15, 124, 616, 20, 94, 131, 56, 16, 213, 18, 50, 209, 20, 303, 362, 94, 131, 584, 379, 4, 43, 276, 320, 614, 13, 140, 620, 133, 3716, 252, 140, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[14, 12, 61, 338, 105, 726, 166, 108, 133, 726, 629, 192, 1238, 2953, 509, 755, 3037, 125, 192, 747, 1618, 277, 26, 9, 3037, 5192, 43, 599, 215, 20, 34, 114, 511, 815, 817, 125, 192, 1238, 7, 77, 10, 4, 20, 669, 8, 20, 7, 33, 55, 1679, 21, 91, 132, 47, 36, 213, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[92, 96, 24, 535, 119, 841, 106, 482, 31, 19, 20, 180, 4009, 442, 21, 19, 120, 445, 21, 18, 558, 2, 1113, 1166, 115, 101, 1751, 368, 70, 685, 199, 396, 70, 1357, 2065, 35, 284, 416, 20, 31, 19, 441, 221, 31, 18, 35, 284, 416, 101, 116, 904, 768, 279, 141, 928, 507, 391, 190, 63, 916, 320, 95, 155, 594, 118, 557, 61, 818, 213, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,3,0
Levonorgestrel,Hormonal Contraceptives,"[131, 150, 166, 131, 1339, 60, 13, 1, 284, 416, 127, 399, 44, 59, 300, 57, 14, 12, 21, 2, 131, 815, 39, 21, 4, 463, 82, 33, 106, 1848, 3, 2, 29, 2050, 1, 84, 991, 543, 10690, 8, 20, 418, 901, 210, 6, 530, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[35, 284, 416, 206, 6, 5, 831, 183, 5, 9, 176, 19, 143, 20, 5, 139, 5, 47, 56, 53, 89, 298, 1130, 254, 5, 89, 516, 929, 6, 534, 480, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[65, 93, 674, 697, 21, 326, 20, 48, 13, 50, 358, 53, 50, 20, 148, 77, 221, 212, 20, 99, 1560, 113, 21, 2076, 53, 157, 140, 42, 85, 163, 249, 988, 11, 927, 72, 315, 13, 20, 28, 180, 179, 23, 103, 17, 238, 326, 134, 40, 20, 99, 154, 21, 118, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[1350, 345, 215, 20, 51, 63, 342, 183, 45, 613, 95, 119, 47, 406, 589, 573, 150, 133, 183, 166, 15, 2351, 5, 96, 1458, 97, 2, 53, 2942, 36, 130, 5, 380, 105, 23, 884, 312, 944, 596, 5, 63, 193, 3, 121, 19, 342, 570, 63, 2, 121, 63, 20, 85, 49, 15, 13, 45, 542, 34, 633, 33, 55, 113, 345, 149, 769, 98, 457, 506, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,5,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[150, 84, 166, 21, 923, 166, 4712, 266, 10, 4, 339, 60, 501, 86, 2846, 6, 57, 21, 563, 18, 268, 125, 966, 279, 612, 541, 63, 51, 85, 163, 1500, 269, 13, 792, 2823, 1312, 20, 945, 88, 359, 13, 55, 808, 449, 33, 399, 6, 57, 501, 2, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[1577, 935, 15, 146, 18, 101, 90, 434, 85, 163, 24, 64, 20, 618, 1028, 13, 15, 18, 241, 1243, 18, 101, 116, 85, 163, 25, 28, 1045, 952, 2339, 65, 56, 335, 303, 43, 25, 615, 18, 78, 2, 702, 23, 138, 461, 364, 8, 1577, 935, 620, 259, 77, 85, 53, 3, 21, 2, 6, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[21, 2, 6, 146, 3, 9, 81, 51, 85, 163, 680, 2182, 922, 7359, 1256, 132, 91, 34, 9, 542, 78, 47, 11, 8240, 2, 3127, 518, 42, 1247, 13, 684, 321, 366, 124, 202, 50, 21, 19, 148, 42, 10, 4, 337, 161, 201, 206, 2, 237, 92, 8, 566, 298, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[345, 774, 60, 60, 135, 4865, 5, 48, 13, 4195, 93, 122, 5045, 291, 365, 34, 1551, 2418, 198, 2592, 402, 1352, 300, 56, 5, 143, 10, 1113, 492, 121, 94, 63, 3, 148, 63, 121, 76, 165, 63, 143, 10, 5, 135, 47, 75, 17, 345, 94, 131, 113, 376, 194, 118, 1562, 86, 144, 301, 2100, 140, 433, 457, 506, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[2031, 106, 1848, 20, 689, 567, 447, 35, 21, 137, 148, 6, 36, 20, 150, 4248, 21, 199, 2, 6, 1848, 20, 306, 3981, 562, 6, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[939, 156, 13, 982, 17, 467, 15, 13, 44, 16, 13, 982, 7, 20, 33, 55, 85, 163, 104, 151, 323, 1713, 93, 898, 131, 150, 1082, 54, 739, 340, 54, 281, 431, 96, 205, 44, 237, 658, 199, 431, 2, 8, 640, 99, 22, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[724, 724, 5409, 935, 9, 581, 15, 20, 149, 65, 98, 39, 20, 574, 1590, 554, 86, 118, 463, 1074, 342, 33, 55, 34, 126, 124, 2951, 63, 43, 41, 45, 184, 14, 12, 98, 77, 1527, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[125, 14, 12, 505, 241, 990, 16, 171, 9, 70, 63, 215, 224, 100, 40, 125, 14, 12, 97, 179, 59, 990, 5292, 18, 967, 9, 121, 148, 70, 42, 265, 13, 323, 18, 481, 80, 79, 14, 12, 305, 70, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Levonorgestrel,Hormonal Contraceptives,"[482, 106, 137, 689, 567, 350, 895, 1113, 2477, 435, 739, 48, 13, 36, 20, 79, 1510, 284, 416, 8, 21, 136, 3, 137, 1, 21, 70, 432, 190, 268, 268, 20, 140, 100, 240, 8, 3359, 43, 589, 186, 213, 50, 886, 320, 310, 221, 266, 138, 36, 20, 212, 137, 78, 2, 771, 21, 6, 898, 530, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[21, 18, 181, 699, 147, 307, 93, 147, 670, 21, 1577, 935, 169, 1474, 77, 14, 12, 1474, 4949, 18, 181, 55, 473, 2167, 89, 4174, 1219, 327, 6, 598, 338, 68, 55, 33, 16, 6, 216, 55, 33, 7, 300, 269, 13, 7, 300, 490, 1511, 1364, 482, 113, 295, 36, 14, 12, 15, 402, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[15, 36, 375, 199, 379, 205, 1052, 492, 7, 5, 802, 7, 20, 400, 190, 121, 233, 48, 160, 7, 33, 55, 7, 85, 163, 15, 19, 56, 185, 4338, 789, 7, 300, 47, 557, 89, 46, 858, 100, 1679, 396, 762, 15, 235, 1512, 20, 19, 148, 172, 19, 9, 121, 2043, 3360, 20, 42, 240, 554, 1427, 1, 165, 588, 24, 1394, 1110, 111, 1508, 18, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
